electricity,opex,Lcoh
0.01,1367710.0,240.3710117000283
0.02,1373240.0,240.52158427662016
0.03,1378760.0,240.67188457007168
0.04,1384290.0,240.8224571466635
0.05,1389820.0,240.97302972325534
0.06,1395350.0,241.12360229984716
0.07,1400875.33333333,241.27404781097343
0.08,1406403.04761905,241.42455815141906
0.09,1411930.76190476,241.57506849186439
0.1,1417458.47619048,241.72557883231002
0.11,1422986.19047619,241.8760891727554
0.12,1428513.90476191,242.02659951320103
0.13,1434041.61904762,242.17710985364639
0.14,1439569.33333333,242.32762019409176
0.15,1445097.04761905,242.4781305345374
0.16,1450624.76190476,242.62864087498272
0.17,1456152.47619048,242.77915121542836
0.18,1461680.19047619,242.92966155587374
0.19,1467207.90476191,243.08017189631937
0.2,1472735.61904762,243.2306822367647
0.21,1478263.33333333,243.38119257721007
0.22,1483791.04761905,243.5317029176557
0.23,1489318.76190476,243.68221325810103
0.24,1494846.47619048,243.83272359854666
0.25,1500374.19047619,243.98323393899204
0.26,1505901.90476191,244.13374427943768
0.27,1511429.61904762,244.28425461988303
0.28,1516957.33333334,244.43476496032866
0.29,1522485.04761905,244.58527530077404
0.3,1528012.76190476,244.73578564121937
0.31,1533540.47619048,244.886295981665
0.32,1539068.19047619,245.03680632211038
0.33,1544595.90476191,245.18731666255601
0.34,1550123.61904762,245.33782700300134
0.35,1555651.33333334,245.48833734344697
0.36,1561179.04761905,245.63884768389235
0.37,1566706.76190477,245.789358024338
0.38,1572234.47619048,245.93986836478334
0.39,1577762.19047619,246.09037870522872
0.4,1583289.90476191,246.24088904567435
0.41,1588817.61904762,246.39139938611967
0.42,1594345.33333334,246.5419097265653
0.43,1599873.04761905,246.6924200670107
0.44,1605400.76190477,246.84293040745632
0.45,1610928.47619048,246.99344074790164
0.46,1616456.1904762,247.14395108834728
0.47,1621983.90476191,247.29446142879266
0.48,1627511.61904762,247.44497176923798
0.49,1633039.33333334,247.59548210968362
0.5,1638567.04761905,247.745992450129
0.51,1644094.76190477,247.89650279057463
0.52,1649622.47619048,248.04701313101998
0.53,1655150.1904762,248.19752347146562
0.54,1660677.90476191,248.348033811911
0.55,1666205.61904763,248.49854415235663
0.56,1671733.33333334,248.64905449280195
0.57,1677261.04761905,248.79956483324733
0.58,1682788.76190477,248.95007517369297
0.59,1688316.47619048,249.1005855141383
0.6,1693844.1904762,249.25109585458392
0.61,1699371.90476191,249.4016061950293
0.62,1704899.61904763,249.55211653547494
0.63,1710427.33333334,249.70262687592026
0.64,1715955.04761905,249.85313721636564
0.65,1721482.76190477,250.00364755681127
0.66,1727010.47619048,250.15415789725662
0.67,1732538.1904762,250.30466823770226
0.68,1738065.90476191,250.45517857814764
0.69,1743593.61904763,250.60568891859327
0.7,1749121.33333334,250.7561992590386
0.71,1754649.04761906,250.90670959948423
0.72,1760176.76190477,251.0572199399296
0.73,1765704.47619048,251.20773028037493
0.74,1771232.1904762,251.35824062082057
0.75,1776759.90476191,251.50875096126595
0.76,1782287.61904763,251.65926130171158
0.77,1787815.33333334,251.80977164215693
0.78,1793343.04761906,251.96028198260257
0.79,1798870.76190477,252.11079232304795
0.8,1804398.47619049,252.26130266349358
0.81,1809926.1904762,252.4118130039389
0.82,1815453.90476191,252.56232334438428
0.83,1820981.61904763,252.71283368482992
0.84,1826509.33333334,252.86334402527524
0.85,1832037.04761906,253.01385436572087
0.86,1837564.76190477,253.16436470616625
0.87,1843092.47619049,253.3148750466119
0.88,1848620.1904762,253.4653853870572
0.89,1854147.90476192,253.61589572750285
0.9,1859675.61904763,253.76640606794822
0.91,1865203.33333334,253.91691640839358
0.92,1870731.04761906,254.0674267488392
0.93,1876258.76190477,254.2179370892846
0.94,1881786.47619049,254.36844742973022
0.95,1887314.1904762,254.51895777017555
0.96,1892841.90476192,254.66946811062118
0.97,1898369.61904763,254.81997845106656
0.98,1903897.33333335,254.9704887915122
0.99,1909425.04761906,255.12099913195752
1.0,1914952.76190477,255.2715094724029
